Timestamp,Speed
100000000,60.0
100199403,60.56
100395409,61.12
100593260,61.68
100786932,62.24
100994311,62.8
101199879,63.36
101393822,63.92
101594523,64.48
101796185,65.04
101986286,65.6
102195603,66.16
102387579,66.72
102589954,67.28
102797914,67.84
102993287,68.4
103184169,68.96
103392562,69.52
103585093,70.08
103793745,70.64
103994083,71.2
104195049,71.76
104399787,72.32
104597759,72.88
104797285,73.44
104990319,74.0
105187405,74.56
105386832,75.12
105581332,75.68
105773385,76.24
105971770,76.8
106178053,77.36
106378990,77.92
106583596,78.48
106778649,79.04
106979942,79.6
107176645,80.16
107384587,80.72
107586663,81.28
107779100,81.84
107980390,82.4
108172040,82.96
108377229,83.52
108584777,84.08
108789856,84.64
108987954,85.2
109184111,85.76
109389573,86.32
109582474,86.88
109779656,87.44
109970924,88.0
110173488,88.56
110370719,89.12
110566229,89.68
110760093,90.24
110950101,90.8
111140552,91.36
111333278,91.92
111535154,92.48
111725550,93.04
111920012,93.6
112127515,94.16
112320803,94.72
112528545,95.28
112722067,95.84
112913153,96.4
113120531,96.96
113313142,97.52
113515704,98.08
113716451,98.64
113924683,99.2
114120785,99.76
114317077,100.32
114513634,100.88
114714417,101.44
114923301,102.0
115115158,102.56
115317164,103.12
115521807,103.68
115715703,104.24
115906302,104.8
116108640,105.36
116303942,105.92
116497694,106.48
116707581,107.04
116903904,107.6
117097758,108.16
117302995,108.72
117503365,109.28
117705716,109.84
117912651,110.4
118110015,110.96
118300716,111.52
118495265,112.08
118686903,112.64
118879738,113.2
119085263,113.76
119293268,114.32
119492798,114.88
119696561,115.44
119891688,116.0
120091575,116.56
120298306,117.12
120499298,117.68
120706221,118.24
120899756,118.8
121098048,119.36
121294734,119.92
121495232,120.48
121691710,120.05
121899526,119.96
122105648,120.52
122305019,119.93
122510327,120.49
122707043,120.04
122914067,120.02
123123449,119.9
123331966,120.46
123526695,120.03
123727478,119.91
123919728,120.47
124115618,119.95
124318699,120.51
124528522,120.05
124730101,120.08
124935519,120.08
125132598,120.07
125331428,119.98
125535565,120.54
125731335,119.98
125922952,120.54
126125714,120.01
126334559,120.1
126528563,119.96
126727357,120.52
126935359,120.07
127125842,119.99
127322299,120.55
127516552,119.95
127707088,120.51
127905869,120.05
128105588,119.92
128295895,120.48
128502603,119.96
128697787,120.52
128889618,120.0
129090921,119.92
129286988,120.48
129484910,120.04
129681122,119.97
129878221,120.53
130077487,119.99
130284649,120.55
130489950,120.02
130685685,120.0
130886524,119.93
131076897,120.49
131282706,119.96
131477319,120.52
131670676,119.96
131878347,120.52
132074160,120.02
132284036,120.0
132490427,119.92
132699287,120.48
132901847,120.03
133100701,119.98
133306530,120.54
133506653,119.91
133715110,120.47
133918627,119.91
134125027,120.47
134321538,120.01
134516548,119.92
134712760,120.48
134913845,119.98
135115273,120.54
135310019,119.96
135516400,120.52
135708063,119.9
135910545,120.46
136118128,120.01
136317347,119.94
136517696,120.5
136718813,120.02
136917620,119.91
137127592,120.47
137324652,119.94
137527709,120.5
137727767,119.98
137934260,120.54
138141689,119.96
138345070,120.52
138549967,119.92
138757272,120.48
138962427,119.93
139167732,120.49
139367843,120.07
139572799,119.94
139765996,120.5
139962702,120.09
140155317,120.04
140357419,120.04
140549070,119.93
140749389,120.49
140953634,119.99
141152161,120.55
141352454,119.9
141561978,120.46
141763841,120.02
141965859,119.94
142172189,120.5
142378735,119.94
142583217,120.5
142787411,120.05
142990941,120.01
143187546,120.03
143388492,120.09
143581502,120.04
143780915,119.94
143985052,120.5
144178607,119.95
144384206,120.51
144581013,120.08
144772100,119.99
144969201,120.55
145162128,120.08
145369646,120.0
145568871,120.04
145770691,119.98
145967412,120.54
146170295,119.9
146378683,120.46
146582347,120.09
146777260,120.01
146984620,119.98
147192281,120.54
147387741,120.1
147588957,120.01
147797995,120.0
148007142,120.05
148215559,120.07
148405656,120.07
148611274,120.08
148815645,119.93
149010596,120.49
149211092,120.09
149407854,120.07
149616231,119.97
149815415,120.53
150016744,119.95
150212014,120.51
150417301,120.08
150614998,120.01
150809555,119.97
151006274,120.53
151196607,120.1
151386969,120.05
151577552,120.01
151778932,120.06
151988815,119.9
152180541,120.46
152390045,120.06
152594403,120.1
152797347,120.03
153003802,119.97
153193892,120.53
153388998,120.01
153596056,119.92
153794481,120.48
153987600,120.09
154177756,119.92
154378234,120.48
154572379,119.94
154780605,120.5
154981025,119.98
155178549,120.54
155369826,120.09
155564406,120.03
155769045,120.07
155963587,120.01
156163423,120.06
156363804,119.98
156560424,120.54
156763959,119.99
156962827,120.55
157162986,120.01
157368595,119.95
157578002,120.51
157778258,119.91
157982340,120.47
158179833,119.91
158388183,120.47
158591849,119.91
158786039,120.47
158987151,120.08
159178084,119.95
159371345,120.51
159574653,120.01
159767532,120.02
159957622,120.0
160153527,119.96
